week_start,panchayat_id,ndvi,lst_day_c
2023-01-22,MP0312,0.377,23.4
2023-01-22,MP0313,0.407,22.6
2023-01-22,MP0113,0.378,22.1
2023-01-22,MP0401,0.351,24.9
2023-01-22,MP0402,0.333,24.4
2023-01-22,MP0216,0.405,21.3
2023-01-22,MP0501,0.319,24.5
2023-01-22,MP0502,0.43,22.7
2023-01-22,MP0314,0.361,22.5
2023-01-22,MP0315,0.39,21.7
2023-01-22,MP0601,0.387,22.6
2023-01-22,MP0316,0.382,22.0
2023-01-22,MP0403,0.318,22.5
2023-01-22,MP0404,0.3,23.9
2023-01-22,MP0405,0.331,23.9
2023-01-22,MP0503,0.286,23.8
2023-01-22,MP0504,0.417,23.1
2023-01-22,MP0505,0.396,22.5
2023-01-22,MP0506,0.39,25.9
2023-01-22,MP0602,0.345,25.0
2023-01-22,MP0603,0.369,20.5
2023-01-22,MP0604,0.46,22.5
2023-01-22,MP0406,0.362,23.6
2023-01-22,MP0407,0.369,24.2
2023-01-22,MP0408,0.385,21.5
2023-01-22,MP0507,0.421,21.6
2023-01-22,MP0508,0.324,23.3
2023-01-22,MP0509,0.362,23.4
2023-01-22,MP0510,0.31,25.0
2023-01-22,MP0605,0.423,23.1
2023-01-22,MP0606,0.43,19.4
2023-01-22,MP0607,,
2023-01-22,MP0409,0.343,22.5
2023-01-22,MP0410,0.411,20.6
2023-01-22,MP0411,0.401,25.1
2023-01-22,MP0412,0.326,24.5
2023-01-22,MP0511,0.39,27.7
2023-01-22,MP0512,0.409,24.5
2023-01-22,MP0608,,
2023-01-22,MP0609,0.367,21.9
2023-01-22,MP0610,0.382,22.9
2023-01-22,MP0611,0.384,23.0
2023-01-22,MP0413,0.38,23.3
2023-01-22,MP0414,0.357,21.9
2023-01-22,MP0415,0.397,23.1
2023-01-22,MP0513,,
2023-01-22,MP0514,0.378,22.6
2023-01-22,MP0515,0.374,23.3
2023-01-22,MP0516,0.394,22.9
2023-01-22,MP0612,0.376,26.5
2023-01-22,MP0613,0.355,25.1
2023-01-22,MP0614,0.398,24.9
2023-01-29,MP0101,0.517,28.1
2023-01-29,MP0102,0.445,24.9
2023-01-29,MP0103,0.421,25.1
2023-01-29,MP0201,0.471,26.3
2023-01-29,MP0202,0.462,23.1
2023-01-29,MP0203,0.48,25.9
2023-01-29,MP0204,0.486,28.1
2023-01-29,MP0301,0.51,29.3
2023-01-29,MP0302,0.518,25.1
2023-01-29,MP0303,0.542,24.1
2023-01-29,MP0104,0.361,20.5
2023-01-29,MP0105,0.411,27.0
2023-01-29,MP0106,0.455,27.4
2023-01-29,MP0205,0.469,26.7
2023-01-29,MP0206,0.442,27.8
2023-01-29,MP0207,0.421,27.1
2023-01-29,MP0208,0.44,26.5
2023-01-29,MP0304,0.431,26.2
2023-01-29,MP0305,0.429,26.6
2023-01-29,MP0306,0.425,26.3
2023-01-29,MP0107,0.456,27.1
2023-01-29,MP0108,0.406,25.8
2023-01-29,MP0109,0.44,25.6
2023-01-29,MP0209,0.417,27.2
2023-01-29,MP0210,0.445,23.5
2023-01-29,MP0211,0.493,26.2
2023-01-29,MP0307,0.412,27.7
2023-01-29,MP0308,0.475,23.9
2023-01-29,MP0309,0.397,25.1
2023-01-29,MP0310,,
2023-01-29,MP0110,0.453,26.6
2023-01-29,MP0111,,
2023-01-29,MP0112,,
2023-01-29,MP0212,0.507,23.6
2023-01-29,MP0213,0.409,23.1
2023-01-29,MP0214,0.407,26.4
2023-01-29,MP0215,0.45,25.4
2023-01-29,MP0311,,
2023-01-29,MP0312,0.432,28.0
2023-01-29,MP0313,0.426,25.9
2023-01-29,MP0113,0.579,24.9
2023-01-29,MP0401,0.428,28.0
2023-01-29,MP0402,0.402,27.3
2023-01-29,MP0216,0.413,23.0
2023-01-29,MP0501,0.42,23.6
2023-01-29,MP0502,0.443,24.5
2023-01-29,MP0314,0.434,26.7
2023-01-29,MP0315,0.357,25.7
2023-01-29,MP0601,0.487,25.1
2023-01-29,MP0316,,
2023-01-29,MP0403,0.398,27.7
2023-01-29,MP0404,0.364,23.8
2023-01-29,MP0405,0.389,24.6
2023-01-29,MP0503,0.298,27.1
2023-01-29,MP0504,0.433,25.7
2023-01-29,MP0505,0.458,26.2
2023-01-29,MP0506,0.448,26.9
2023-01-29,MP0602,0.332,27.0
2023-01-29,MP0603,0.426,27.4
2023-01-29,MP0604,0.527,25.7
2023-01-29,MP0406,0.413,29.4
2023-01-29,MP0407,0.457,25.8
2023-01-29,MP0408,0.433,27.2
2023-01-29,MP0507,0.43,24.0
2023-01-29,MP0508,0.352,30.1
2023-01-29,MP0509,,
2023-01-29,MP0510,,
2023-01-29,MP0605,0.437,26.9
2023-01-29,MP0606,0.46,26.0
2023-01-29,MP0607,0.427,23.9
2023-01-29,MP0409,,
2023-01-29,MP0410,0.421,26.1
2023-01-29,MP0411,0.518,27.1
2023-01-29,MP0412,0.377,28.3
2023-01-29,MP0511,0.417,27.2
2023-01-29,MP0512,0.392,28.3
2023-01-29,MP0608,0.387,25.7
2023-01-29,MP0609,0.411,26.1
2023-01-29,MP0610,0.375,28.7
2023-01-29,MP0611,0.43,26.2
2023-01-29,MP0413,0.472,28.5
2023-01-29,MP0414,0.423,24.7
2023-01-29,MP0415,0.482,29.6
2023-01-29,MP0513,0.442,25.7
2023-01-29,MP0514,0.407,25.6
2023-01-29,MP0515,0.407,24.7
2023-01-29,MP0516,0.423,28.1
2023-01-29,MP0612,0.448,30.3
2023-01-29,MP0613,0.413,26.9
2023-01-29,MP0614,0.5,26.7
2023-02-05,MP0101,0.526,28.1
2023-02-05,MP0102,0.462,28.5
2023-02-05,MP0103,0.413,26.1
2023-02-05,MP0201,0.562,23.2
2023-02-05,MP0202,0.54,28.0
2023-02-05,MP0203,0.515,25.5
2023-02-05,MP0204,0.505,27.5
2023-02-05,MP0301,0.462,26.1
2023-02-05,MP0302,0.545,24.1
2023-02-05,MP0303,0.556,25.8
2023-02-05,MP0104,,
2023-02-05,MP0105,0.494,25.7
2023-02-05,MP0106,0.513,25.1
2023-02-05,MP0205,0.533,27.2
2023-02-05,MP0206,0.4,29.0
2023-02-05,MP0207,0.424,28.7
2023-02-05,MP0208,0.517,25.0
2023-02-05,MP0304,0.507,26.4
2023-02-05,MP0305,0.486,27.9
2023-02-05,MP0306,0.493,27.6
2023-02-05,MP0107,0.569,26.9
2023-02-05,MP0108,,
2023-02-05,MP0109,0.422,28.6
2023-02-05,MP0209,0.521,26.4
2023-02-05,MP0210,0.504,26.2
2023-02-05,MP0211,0.529,26.4
2023-02-05,MP0307,,
2023-02-05,MP0308,0.509,24.0
2023-02-05,MP0309,0.508,26.5
2023-02-05,MP0310,0.561,26.0
2023-02-05,MP0110,0.546,27.8
2023-02-05,MP0111,0.45,26.3
2023-02-05,MP0112,0.454,23.2
2023-02-05,MP0212,0.49,27.0
2023-02-05,MP0213,0.385,25.9
2023-02-05,MP0214,0.432,28.2
2023-02-05,MP0215,0.506,28.1
2023-02-05,MP0311,0.522,25.4
2023-02-05,MP0312,0.436,29.0
2023-02-05,MP0313,0.478,25.1
2023-02-05,MP0113,0.541,27.6
2023-02-05,MP0401,0.455,25.9
2023-02-05,MP0402,0.406,24.9
2023-02-05,MP0216,0.52,26.7
2023-02-05,MP0501,0.447,26.7
2023-02-05,MP0502,0.546,25.9
2023-02-05,MP0314,0.491,27.5
2023-02-05,MP0315,0.458,26.1
2023-02-05,MP0601,,
2023-02-05,MP0316,0.369,26.3
2023-02-05,MP0403,0.443,26.7
2023-02-05,MP0404,0.406,28.3
2023-02-05,MP0405,,
2023-02-05,MP0503,0.344,26.3
2023-02-05,MP0504,0.528,25.8
2023-02-05,MP0505,0.483,27.2
2023-02-05,MP0506,0.459,26.9
2023-02-05,MP0602,0.344,28.7
2023-02-05,MP0603,0.464,26.4
2023-02-05,MP0604,0.562,27.6
2023-02-05,MP0406,0.462,27.2
2023-02-05,MP0407,0.428,27.3
2023-02-05,MP0408,0.488,25.8
2023-02-05,MP0507,0.492,29.5
2023-02-05,MP0508,0.434,25.5
2023-02-05,MP0509,0.336,27.1
2023-02-05,MP0510,0.431,26.6
2023-02-05,MP0605,0.496,28.1
2023-02-05,MP0606,0.522,25.2
2023-02-05,MP0607,0.462,25.4
2023-02-05,MP0409,0.417,25.1
2023-02-05,MP0410,0.48,27.4
2023-02-05,MP0411,0.518,29.0
2023-02-05,MP0412,0.427,27.4
2023-02-05,MP0511,0.485,26.1
2023-02-05,MP0512,0.447,27.9
2023-02-05,MP0608,0.438,28.0
2023-02-05,MP0609,0.447,28.6
2023-02-05,MP0610,0.438,27.6
2023-02-05,MP0611,0.466,24.9
2023-02-05,MP0413,0.488,27.5
2023-02-05,MP0414,0.463,27.6
2023-02-05,MP0415,0.537,28.6
2023-02-05,MP0513,0.513,28.0
2023-02-05,MP0514,0.478,26.1
2023-02-05,MP0515,0.45,25.3
2023-02-05,MP0516,,
2023-02-05,MP0612,0.508,30.3
2023-02-05,MP0613,0.541,25.5
2023-02-05,MP0614,0.538,25.9
2023-02-12,MP0101,0.567,27.8
2023-02-12,MP0102,0.485,29.7
2023-02-12,MP0103,0.521,29.8
2023-02-12,MP0201,0.566,30.4
2023-02-12,MP0202,,
2023-02-12,MP0203,0.636,29.3
2023-02-12,MP0204,0.5,25.8
2023-02-12,MP0301,0.44,27.7
2023-02-12,MP0302,0.558,26.7
2023-02-12,MP0303,0.613,26.7
2023-02-12,MP0104,0.497,31.2
2023-02-12,MP0105,0.53,29.0
2023-02-12,MP0106,0.488,28.5
2023-02-12,MP0205,0.571,26.6
2023-02-12,MP0206,0.465,29.8
2023-02-12,MP0207,0.453,27.2
2023-02-12,MP0208,0.526,30.8
2023-02-12,MP0304,0.53,27.2
2023-02-12,MP0305,0.516,24.0
2023-02-12,MP0306,0.516,29.2
2023-02-12,MP0107,0.579,27.9
2023-02-12,MP0108,0.466,30.3
2023-02-12,MP0109,0.519,28.7
2023-02-12,MP0209,0.468,28.0
2023-02-12,MP0210,0.554,28.8
2023-02-12,MP0211,0.549,30.6
2023-02-12,MP0307,,
2023-02-12,MP0308,,
2023-02-12,MP0309,0.489,26.9
2023-02-12,MP0310,0.579,26.4
2023-02-12,MP0110,0.562,30.0
2023-02-12,MP0111,0.528,30.1
2023-02-12,MP0112,0.535,28.0
2023-02-12,MP0212,0.567,28.9
2023-02-12,MP0213,0.456,29.9
2023-02-12,MP0214,0.45,28.5
2023-02-12,MP0215,0.489,30.1
2023-02-12,MP0311,0.479,27.6
2023-02-12,MP0312,0.503,29.6
2023-02-12,MP0313,0.444,27.1
2023-02-12,MP0113,0.541,28.0
2023-02-12,MP0401,0.434,29.0
2023-02-12,MP0402,0.442,29.7
2023-02-12,MP0216,0.526,30.4
2023-02-12,MP0501,0.466,27.1
2023-02-12,MP0502,0.56,29.6
2023-02-12,MP0314,0.572,28.9
2023-02-12,MP0315,0.511,27.5
2023-02-12,MP0601,0.485,28.1
2023-02-12,MP0316,0.481,25.0
2023-02-12,MP0403,0.516,26.7
2023-02-12,MP0404,0.404,31.3
2023-02-12,MP0405,,
2023-02-12,MP0503,0.398,32.2
2023-02-12,MP0504,0.534,25.7
2023-02-12,MP0505,0.494,25.6
2023-02-12,MP0506,0.464,27.6
2023-02-12,MP0602,0.389,30.7
2023-02-12,MP0603,0.461,24.9
2023-02-12,MP0604,0.588,25.3
2023-02-12,MP0406,,
2023-02-12,MP0407,0.491,28.2
2023-02-12,MP0408,0.416,28.3
2023-02-12,MP0507,0.494,27.6
2023-02-12,MP0508,0.396,31.1
2023-02-12,MP0509,0.346,26.2
2023-02-12,MP0510,0.409,27.6
2023-02-12,MP0605,0.519,27.1
2023-02-12,MP0606,0.554,29.0
2023-02-12,MP0607,0.486,27.4
2023-02-12,MP0409,0.484,30.2
2023-02-12,MP0410,,
2023-02-12,MP0411,,
2023-02-12,MP0412,0.452,30.9
2023-02-12,MP0511,0.521,28.4
2023-02-12,MP0512,0.434,28.8
2023-02-12,MP0608,0.433,29.2
2023-02-12,MP0609,0.495,28.9
2023-02-12,MP0610,0.497,29.6
2023-02-12,MP0611,,
2023-02-12,MP0413,0.523,26.5
2023-02-12,MP0414,0.464,27.9
2023-02-12,MP0415,0.467,30.6
2023-02-12,MP0513,0.571,29.5
2023-02-12,MP0514,0.499,29.9
2023-02-12,MP0515,,
2023-02-12,MP0516,0.489,27.9
2023-02-12,MP0612,0.509,28.0
2023-02-12,MP0613,0.504,26.9
2023-02-12,MP0614,0.569,28.1
2023-02-19,MP0101,0.526,27.2
2023-02-19,MP0102,0.541,26.2
2023-02-19,MP0103,0.47,26.9
2023-02-19,MP0201,0.594,25.6
2023-02-19,MP0202,0.574,27.3
2023-02-19,MP0203,0.556,23.9
2023-02-19,MP0204,0.574,25.8
2023-02-19,MP0301,0.46,29.5
2023-02-19,MP0302,0.558,29.3
2023-02-19,MP0303,0.596,25.8
2023-02-19,MP0104,0.453,28.1
2023-02-19,MP0105,0.54,27.6
2023-02-19,MP0106,0.5,27.0
2023-02-19,MP0205,0.583,27.9
2023-02-19,MP0206,0.521,27.6
2023-02-19,MP0207,,
2023-02-19,MP0208,0.546,25.7
2023-02-19,MP0304,0.526,27.4
2023-02-19,MP0305,0.529,28.0
2023-02-19,MP0306,0.494,30.1
2023-02-19,MP0107,0.625,30.3
2023-02-19,MP0108,0.477,27.7
2023-02-19,MP0109,0.491,31.1
2023-02-19,MP0209,0.464,27.9
2023-02-19,MP0210,0.567,28.5
2023-02-19,MP0211,0.587,29.0
2023-02-19,MP0307,0.485,30.5
2023-02-19,MP0308,0.584,26.2
2023-02-19,MP0309,0.564,29.1
2023-02-19,MP0310,0.553,29.7
2023-02-19,MP0110,0.581,27.4
2023-02-19,MP0111,0.507,27.4
2023-02-19,MP0112,0.521,28.2
2023-02-19,MP0212,0.564,27.7
2023-02-19,MP0213,0.45,29.8
2023-02-19,MP0214,0.505,27.3
2023-02-19,MP0215,0.505,29.5
2023-02-19,MP0311,0.498,30.9
2023-02-19,MP0312,0.489,28.5
2023-02-19,MP0313,0.505,31.4
2023-02-19,MP0113,0.559,28.4
2023-02-19,MP0401,0.45,28.5
2023-02-19,MP0402,0.444,29.6
2023-02-19,MP0216,0.566,29.0
2023-02-19,MP0501,0.527,28.0
2023-02-19,MP0502,0.56,28.4
2023-02-19,MP0314,,
2023-02-19,MP0315,0.539,28.6
2023-02-19,MP0601,0.546,27.4
2023-02-19,MP0316,0.523,27.9
2023-02-19,MP0403,0.478,31.8
2023-02-19,MP0404,0.409,29.7
2023-02-19,MP0405,0.493,27.1
2023-02-19,MP0503,0.441,26.8
2023-02-19,MP0504,0.606,29.4
2023-02-19,MP0505,0.56,29.8
2023-02-19,MP0506,0.529,29.0
2023-02-19,MP0602,0.438,29.1
2023-02-19,MP0603,0.561,26.9
2023-02-19,MP0604,0.607,25.6
2023-02-19,MP0406,0.509,29.2
2023-02-19,MP0407,0.497,26.6
2023-02-19,MP0408,,
2023-02-19,MP0507,0.55,28.3
2023-02-19,MP0508,0.426,28.9
2023-02-19,MP0509,0.368,28.6
2023-02-19,MP0510,,
2023-02-19,MP0605,0.537,27.6
2023-02-19,MP0606,0.476,29.7
2023-02-19,MP0607,0.516,28.6
2023-02-19,MP0409,0.477,29.1
2023-02-19,MP0410,0.492,27.1
2023-02-19,MP0411,0.594,28.5
2023-02-19,MP0412,0.467,28.3
2023-02-19,MP0511,0.544,25.8
2023-02-19,MP0512,0.485,28.5
2023-02-19,MP0608,0.459,28.6
2023-02-19,MP0609,0.491,28.1
2023-02-19,MP0610,0.508,27.7
2023-02-19,MP0611,0.469,28.7
2023-02-19,MP0413,0.553,31.6
2023-02-19,MP0414,0.506,29.1
