panchayat_id,season,crop,sowing_date,expected_harvest_date,crop_area_fraction
MP0106,rabi_2023_24,wheat,2023-11-22,2024-04-15,0.55
MP0106,kharif_2024,bajra,2024-07-04,2024-09-27,0.76
MP0106,rabi_2024_25,wheat,2024-12-01,2025-04-25,0.82
MP0205,rabi_2022_23,mustard,2022-11-14,2023-03-24,0.86
MP0205,kharif_2023,bajra,2023-06-29,2023-09-22,0.65
MP0205,rabi_2023_24,mustard,2023-11-21,2024-03-30,0.66
MP0205,kharif_2024,bajra,2024-06-30,2024-09-23,0.67
MP0205,rabi_2024_25,mustard,2024-11-17,2025-03-27,0.68
MP0206,rabi_2022_23,gram,2022-11-28,2023-03-28,0.53
MP0206,kharif_2023,bajra,2023-06-28,2023-09-21,0.62
MP0206,rabi_2023_24,gram,2023-11-21,2024-03-20,0.54
MP0206,kharif_2024,bajra,2024-07-01,2024-09-24,0.82
MP0206,rabi_2024_25,gram,2024-11-26,2025-03-26,0.86
MP0207,rabi_2022_23,mustard,2022-11-13,2023-03-23,0.8
MP0207,kharif_2023,bajra,2023-07-03,2023-09-26,0.73
MP0207,rabi_2023_24,mustard,2023-11-22,2024-03-31,0.84
MP0207,kharif_2024,bajra,2024-07-07,2024-09-30,0.84
MP0207,rabi_2024_25,mustard,2024-11-21,2025-03-31,0.52
MP0208,rabi_2022_23,wheat,2022-11-11,2023-04-05,0.73
MP0208,kharif_2023,bajra,2023-07-04,2023-09-27,0.59
MP0208,rabi_2023_24,wheat,2023-11-19,2024-04-12,0.72
MP0208,kharif_2024,bajra,2024-07-02,2024-09-25,0.76
MP0208,rabi_2024_25,wheat,2024-11-16,2025-04-10,0.63
MP0304,rabi_2022_23,wheat,2022-12-01,2023-04-25,0.87
MP0304,kharif_2023,bajra,2023-07-12,2023-10-05,0.77
MP0304,rabi_2023_24,wheat,2023-12-04,2024-04-27,0.87
MP0304,kharif_2024,bajra,2024-07-07,2024-09-30,0.8
MP0304,rabi_2024_25,wheat,2024-12-02,2025-04-26,0.88
MP0305,rabi_2022_23,wheat,2022-11-21,2023-04-15,0.82
MP0305,kharif_2023,bajra,2023-07-08,2023-10-01,0.76
MP0305,rabi_2023_24,wheat,2023-11-19,2024-04-12,0.88
MP0305,kharif_2024,bajra,2024-07-08,2024-10-01,0.69
MP0305,rabi_2024_25,wheat,2024-11-19,2025-04-13,0.87
MP0306,rabi_2022_23,wheat,2022-11-18,2023-04-12,0.78
MP0306,kharif_2023,cotton,2023-05-11,2023-11-07,0.87
MP0306,rabi_2023_24,wheat,2023-11-14,2024-04-07,0.59
MP0306,kharif_2024,cotton,2024-05-08,2024-11-04,0.76
MP0306,rabi_2024_25,wheat,2024-11-18,2025-04-12,0.66
MP0107,rabi_2022_23,wheat,2022-11-11,2023-04-05,0.76
MP0107,kharif_2023,cotton,2023-05-18,2023-11-14,0.87
MP0107,rabi_2023_24,wheat,2023-11-10,2024-04-03,0.89
MP0107,kharif_2024,cotton,2024-05-15,2024-11-11,0.89
MP0107,rabi_2024_25,wheat,2024-11-09,2025-04-03,0.78
MP0108,rabi_2022_23,mustard,2022-11-16,2023-03-26,0.82
MP0108,kharif_2023,bajra,2023-07-02,2023-09-25,0.62
MP0108,rabi_2023_24,mustard,2023-11-11,2024-03-20,0.68
MP0108,kharif_2024,bajra,2024-07-01,2024-09-24,0.67
MP0108,rabi_2024_25,mustard,2024-11-11,2025-03-21,0.53
MP0109,rabi_2022_23,wheat,2022-11-14,2023-04-08,0.67
MP0109,kharif_2023,bajra,2023-06-30,2023-09-23,0.71
MP0109,rabi_2023_24,wheat,2023-11-18,2024-04-11,0.62
MP0109,kharif_2024,bajra,2024-07-01,2024-09-24,0.76
MP0109,rabi_2024_25,wheat,2024-11-11,2025-04-05,0.84
MP0209,rabi_2022_23,wheat,2022-11-08,2023-04-02,0.68
MP0209,kharif_2023,bajra,2023-07-05,2023-09-28,0.74
MP0209,rabi_2023_24,wheat,2023-11-10,2024-04-03,0.65
MP0209,kharif_2024,bajra,2024-07-04,2024-09-27,0.86
MP0209,rabi_2024_25,wheat,2024-11-08,2025-04-02,0.68
MP0210,rabi_2022_23,wheat,2022-11-19,2023-04-13,0.72
MP0210,kharif_2023,bajra,2023-07-04,2023-09-27,0.74
MP0210,rabi_2023_24,wheat,2023-11-17,2024-04-10,0.65
MP0210,kharif_2024,bajra,2024-07-05,2024-09-28,0.9
MP0210,rabi_2024_25,wheat,2024-11-13,2025-04-07,0.89
MP0211,rabi_2022_23,wheat,2022-11-25,2023-04-19,0.59
MP0211,kharif_2023,bajra,2023-07-06,2023-09-29,0.89
MP0211,rabi_2023_24,wheat,2023-11-29,2024-04-22,0.79
MP0211,kharif_2024,bajra,2024-07-04,2024-09-27,0.89
MP0211,rabi_2024_25,wheat,2024-11-27,2025-04-21,0.77
MP0307,rabi_2022_23,wheat,2022-11-18,2023-04-12,0.77
MP0307,kharif_2023,bajra,2023-06-25,2023-09-18,0.86
MP0307,rabi_2023_24,wheat,2023-11-25,2024-04-18,0.85
MP0307,kharif_2024,bajra,2024-07-01,2024-09-24,0.9
MP0307,rabi_2024_25,wheat,2024-11-24,2025-04-18,0.73
MP0308,rabi_2022_23,wheat,2022-11-17,2023-04-11,0.62
MP0308,kharif_2023,cotton,2023-05-01,2023-10-28,0.57
MP0308,rabi_2023_24,wheat,2023-11-09,2024-04-02,0.57
MP0308,kharif_2024,cotton,2024-05-01,2024-10-28,0.68
MP0308,rabi_2024_25,wheat,2024-11-16,2025-04-10,0.55
MP0309,rabi_2022_23,wheat,2022-11-11,2023-04-05,0.88
MP0309,kharif_2023,bajra,2023-07-14,2023-10-07,0.63
MP0309,rabi_2023_24,wheat,2023-11-08,2024-04-01,0.65
MP0309,kharif_2024,bajra,2024-07-09,2024-10-02,0.89
MP0309,rabi_2024_25,wheat,2024-11-09,2025-04-03,0.56
MP0310,rabi_2022_23,wheat,2022-11-17,2023-04-11,0.72
MP0310,kharif_2023,cotton,2023-05-04,2023-10-31,0.88
MP0310,rabi_2023_24,wheat,2023-11-13,2024-04-06,0.66
MP0310,kharif_2024,cotton,2024-05-03,2024-10-30,0.56
MP0310,rabi_2024_25,wheat,2024-11-12,2025-04-06,0.77
MP0110,rabi_2022_23,mustard,2022-11-05,2023-03-15,0.65
MP0110,kharif_2023,bajra,2023-06-28,2023-09-21,0.67
MP0110,rabi_2023_24,mustard,2023-11-09,2024-03-18,0.57
MP0110,kharif_2024,bajra,2024-06-29,2024-09-22,0.54
MP0110,rabi_2024_25,mustard,2024-11-06,2025-03-16,0.71
MP0111,rabi_2022_23,wheat,2022-11-20,2023-04-14,0.88
MP0111,kharif_2023,bajra,2023-07-15,2023-10-08,0.82
MP0111,rabi_2023_24,wheat,2023-11-19,2024-04-12,0.65
MP0111,kharif_2024,bajra,2024-07-08,2024-10-01,0.58
MP0111,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.54
MP0112,rabi_2022_23,mustard,2022-11-21,2023-03-31,0.6
MP0112,kharif_2023,cotton,2023-05-11,2023-11-07,0.82
MP0112,rabi_2023_24,mustard,2023-11-23,2024-04-01,0.66
MP0112,kharif_2024,cotton,2024-05-13,2024-11-09,0.85
MP0112,rabi_2024_25,mustard,2024-11-15,2025-03-25,0.8
MP0212,rabi_2022_23,mustard,2022-11-14,2023-03-24,0.79
MP0212,kharif_2023,bajra,2023-07-17,2023-10-10,0.57
MP0212,rabi_2023_24,mustard,2023-11-13,2024-03-22,0.85
MP0212,kharif_2024,bajra,2024-07-12,2024-10-05,0.7
MP0212,rabi_2024_25,mustard,2024-11-16,2025-03-26,0.56
MP0213,rabi_2022_23,wheat,2022-11-23,2023-04-17,0.56
MP0213,kharif_2023,bajra,2023-07-13,2023-10-06,0.55
MP0213,rabi_2023_24,wheat,2023-11-26,2024-04-19,0.83
MP0213,kharif_2024,bajra,2024-07-14,2024-10-07,0.73
MP0213,rabi_2024_25,wheat,2024-11-25,2025-04-19,0.69
MP0214,rabi_2022_23,mustard,2022-11-21,2023-03-31,0.7
MP0214,kharif_2023,bajra,2023-07-02,2023-09-25,0.51
MP0214,rabi_2023_24,mustard,2023-11-18,2024-03-27,0.57
MP0214,kharif_2024,bajra,2024-07-09,2024-10-02,0.69
MP0214,rabi_2024_25,mustard,2024-11-19,2025-03-29,0.63
MP0215,rabi_2022_23,wheat,2022-11-03,2023-03-28,0.72
MP0215,kharif_2023,bajra,2023-07-12,2023-10-05,0.51
MP0215,rabi_2023_24,wheat,2023-11-11,2024-04-04,0.66
MP0215,kharif_2024,bajra,2024-07-08,2024-10-01,0.66
MP0215,rabi_2024_25,wheat,2024-11-08,2025-04-02,0.83
MP0311,rabi_2022_23,mustard,2022-11-06,2023-03-16,0.53
MP0311,kharif_2023,bajra,2023-06-29,2023-09-22,0.75
MP0311,rabi_2023_24,mustard,2023-11-05,2024-03-14,0.63
MP0311,kharif_2024,bajra,2024-06-27,2024-09-20,0.83
MP0311,rabi_2024_25,mustard,2024-11-09,2025-03-19,0.87
MP0312,rabi_2022_23,mustard,2022-11-17,2023-03-27,0.62
MP0312,kharif_2023,bajra,2023-06-25,2023-09-18,0.58
MP0312,rabi_2023_24,mustard,2023-11-21,2024-03-30,0.89
MP0312,kharif_2024,bajra,2024-06-29,2024-09-22,0.78
MP0312,rabi_2024_25,mustard,2024-11-17,2025-03-27,0.81
MP0313,rabi_2022_23,gram,2022-11-20,2023-03-20,0.63
MP0313,kharif_2023,bajra,2023-07-18,2023-10-11,0.64
MP0313,rabi_2023_24,gram,2023-11-21,2024-03-20,0.51
MP0313,kharif_2024,bajra,2024-07-16,2024-10-09,0.78
MP0313,rabi_2024_25,gram,2024-11-19,2025-03-19,0.84
MP0113,rabi_2022_23,wheat,2022-11-14,2023-04-08,0.6
MP0113,kharif_2023,bajra,2023-07-01,2023-09-24,0.84
MP0113,rabi_2023_24,wheat,2023-11-08,2024-04-01,0.57
MP0113,kharif_2024,bajra,2024-07-05,2024-09-28,0.66
MP0113,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.68
MP0401,rabi_2022_23,mustard,2022-11-26,2023-04-05,0.65
MP0401,kharif_2023,bajra,2023-07-09,2023-10-02,0.53
MP0401,rabi_2023_24,mustard,2023-11-21,2024-03-30,0.59
MP0401,kharif_2024,bajra,2024-07-04,2024-09-27,0.66
MP0401,rabi_2024_25,mustard,2024-11-28,2025-04-07,0.76
MP0402,rabi_2022_23,wheat,2022-11-13,2023-04-07,0.56
MP0402,kharif_2023,bajra,2023-06-30,2023-09-23,0.67
MP0402,rabi_2023_24,wheat,2023-11-08,2024-04-01,0.88
MP0402,kharif_2024,bajra,2024-07-04,2024-09-27,0.77
MP0402,rabi_2024_25,wheat,2024-11-12,2025-04-06,0.76
MP0216,rabi_2022_23,wheat,2022-11-16,2023-04-10,0.7
MP0216,kharif_2023,bajra,2023-07-07,2023-09-30,0.82
MP0216,rabi_2023_24,wheat,2023-11-22,2024-04-15,0.65
MP0216,kharif_2024,bajra,2024-07-10,2024-10-03,0.68
MP0216,rabi_2024_25,wheat,2024-11-20,2025-04-14,0.72
MP0501,rabi_2022_23,wheat,2022-11-18,2023-04-12,0.84
MP0501,kharif_2023,bajra,2023-07-06,2023-09-29,0.88
MP0501,rabi_2023_24,wheat,2023-11-17,2024-04-10,0.75
MP0501,kharif_2024,bajra,2024-07-09,2024-10-02,0.68
MP0501,rabi_2024_25,wheat,2024-11-11,2025-04-05,0.69
MP0502,rabi_2022_23,wheat,2022-11-04,2023-03-29,0.58
MP0502,kharif_2023,bajra,2023-07-02,2023-09-25,0.76
MP0502,rabi_2023_24,wheat,2023-11-10,2024-04-03,0.83
MP0502,kharif_2024,bajra,2024-07-06,2024-09-29,0.83
MP0502,rabi_2024_25,wheat,2024-11-12,2025-04-06,0.7
MP0314,rabi_2022_23,wheat,2022-11-17,2023-04-11,0.83
MP0314,kharif_2023,bajra,2023-06-25,2023-09-18,0.76
MP0314,rabi_2023_24,wheat,2023-11-14,2024-04-07,0.59
MP0314,kharif_2024,bajra,2024-06-27,2024-09-20,0.76
MP0314,rabi_2024_25,wheat,2024-11-19,2025-04-13,0.5
MP0315,rabi_2022_23,wheat,2022-11-25,2023-04-19,0.76
MP0315,kharif_2023,bajra,2023-06-30,2023-09-23,0.78
MP0315,rabi_2023_24,wheat,2023-11-16,2024-04-09,0.77
MP0315,kharif_2024,bajra,2024-06-30,2024-09-23,0.72
MP0315,rabi_2024_25,wheat,2024-11-16,2025-04-10,0.67
MP0601,rabi_2022_23,mustard,2022-12-01,2023-04-10,0.88
MP0601,kharif_2023,cotton,2023-05-08,2023-11-04,0.69
MP0601,rabi_2023_24,mustard,2023-12-03,2024-04-11,0.64
MP0601,kharif_2024,cotton,2024-04-28,2024-10-25,0.65
MP0601,rabi_2024_25,mustard,2024-12-03,2025-04-12,0.81
MP0316,rabi_2022_23,wheat,2022-11-30,2023-04-24,0.69
MP0316,kharif_2023,bajra,2023-07-09,2023-10-02,0.81
MP0316,rabi_2023_24,wheat,2023-12-01,2024-04-24,0.75
MP0316,kharif_2024,bajra,2024-07-09,2024-10-02,0.75
MP0316,rabi_2024_25,wheat,2024-11-23,2025-04-17,0.75
MP0403,rabi_2022_23,wheat,2022-11-18,2023-04-12,0.71
MP0403,kharif_2023,bajra,2023-07-11,2023-10-04,0.78
MP0403,rabi_2023_24,wheat,2023-11-17,2024-04-10,0.83
MP0403,kharif_2024,bajra,2024-07-03,2024-09-26,0.8
MP0403,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.64
MP0404,rabi_2022_23,wheat,2022-11-28,2023-04-22,0.56
MP0404,kharif_2023,bajra,2023-07-02,2023-09-25,0.78
MP0404,rabi_2023_24,wheat,2023-11-22,2024-04-15,0.87
MP0404,kharif_2024,bajra,2024-07-05,2024-09-28,0.83
MP0404,rabi_2024_25,wheat,2024-11-27,2025-04-21,0.85
MP0405,rabi_2022_23,gram,2022-11-24,2023-03-24,0.56
MP0405,kharif_2023,bajra,2023-07-02,2023-09-25,0.83
MP0405,rabi_2023_24,gram,2023-11-21,2024-03-20,0.79
MP0405,kharif_2024,bajra,2024-07-06,2024-09-29,0.78
MP0405,rabi_2024_25,gram,2024-11-20,2025-03-20,0.6
MP0503,rabi_2022_23,gram,2022-11-20,2023-03-20,0.89
MP0503,kharif_2023,bajra,2023-06-29,2023-09-22,0.65
MP0503,rabi_2023_24,gram,2023-11-18,2024-03-17,0.83
MP0503,kharif_2024,bajra,2024-06-23,2024-09-16,0.71
MP0503,rabi_2024_25,gram,2024-11-22,2025-03-22,0.76
MP0504,rabi_2022_23,wheat,2022-11-15,2023-04-09,0.59
MP0504,kharif_2023,bajra,2023-07-07,2023-09-30,0.66
MP0504,rabi_2023_24,wheat,2023-11-16,2024-04-09,0.75
MP0504,kharif_2024,bajra,2024-07-11,2024-10-04,0.7
MP0504,rabi_2024_25,wheat,2024-11-18,2025-04-12,0.62
MP0505,rabi_2022_23,wheat,2022-11-26,2023-04-20,0.86
MP0505,kharif_2023,bajra,2023-07-10,2023-10-03,0.71
MP0505,rabi_2023_24,wheat,2023-11-30,2024-04-23,0.5
MP0505,kharif_2024,bajra,2024-07-09,2024-10-02,0.66
MP0505,rabi_2024_25,wheat,2024-11-26,2025-04-20,0.86
MP0506,rabi_2022_23,wheat,2022-11-10,2023-04-04,0.68
MP0506,kharif_2023,bajra,2023-07-07,2023-09-30,0.81
MP0506,rabi_2023_24,wheat,2023-11-13,2024-04-06,0.82
MP0506,kharif_2024,bajra,2024-07-04,2024-09-27,0.89
MP0506,rabi_2024_25,wheat,2024-11-15,2025-04-09,0.65
MP0602,rabi_2022_23,mustard,2022-11-14,2023-03-24,0.83
MP0602,kharif_2023,bajra,2023-06-26,2023-09-19,0.67
MP0602,rabi_2023_24,mustard,2023-11-08,2024-03-17,0.77
MP0602,kharif_2024,bajra,2024-06-28,2024-09-21,0.61
MP0602,rabi_2024_25,mustard,2024-11-12,2025-03-22,0.58
MP0603,rabi_2022_23,wheat,2022-11-09,2023-04-03,0.58
MP0603,kharif_2023,bajra,2023-07-05,2023-09-28,0.71
MP0603,rabi_2023_24,wheat,2023-11-10,2024-04-03,0.89
MP0603,kharif_2024,bajra,2024-07-07,2024-09-30,0.59
MP0603,rabi_2024_25,wheat,2024-11-06,2025-03-31,0.73
MP0604,rabi_2022_23,wheat,2022-11-27,2023-04-21,0.68
MP0604,kharif_2023,cotton,2023-05-14,2023-11-10,0.88
MP0604,rabi_2023_24,wheat,2023-11-24,2024-04-17,0.62
MP0604,kharif_2024,cotton,2024-05-13,2024-11-09,0.57
MP0604,rabi_2024_25,wheat,2024-11-21,2025-04-15,0.57
MP0406,rabi_2022_23,mustard,2022-11-12,2023-03-22,0.79
MP0406,kharif_2023,bajra,2023-07-13,2023-10-06,0.83
MP0406,rabi_2023_24,mustard,2023-11-11,2024-03-20,0.56
MP0406,kharif_2024,bajra,2024-07-13,2024-10-06,0.56
MP0406,rabi_2024_25,mustard,2024-11-14,2025-03-24,0.65
MP0407,rabi_2022_23,wheat,2022-11-26,2023-04-20,0.73
MP0407,kharif_2023,bajra,2023-06-29,2023-09-22,0.57
MP0407,rabi_2023_24,wheat,2023-11-27,2024-04-20,0.88
MP0407,kharif_2024,bajra,2024-07-04,2024-09-27,0.82
MP0407,rabi_2024_25,wheat,2024-11-25,2025-04-19,0.84
MP0408,rabi_2022_23,wheat,2022-11-13,2023-04-07,0.56
MP0408,kharif_2023,bajra,2023-06-29,2023-09-22,0.63
MP0408,rabi_2023_24,wheat,2023-11-12,2024-04-05,0.64
MP0408,kharif_2024,bajra,2024-07-03,2024-09-26,0.62
MP0408,rabi_2024_25,wheat,2024-11-19,2025-04-13,0.84
MP0507,rabi_2022_23,wheat,2022-11-16,2023-04-10,0.65
MP0507,kharif_2023,bajra,2023-07-01,2023-09-24,0.52
MP0507,rabi_2023_24,wheat,2023-11-19,2024-04-12,0.87
MP0507,kharif_2024,bajra,2024-06-29,2024-09-22,0.57
MP0507,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.58
MP0508,rabi_2022_23,gram,2022-11-20,2023-03-20,0.78
MP0508,kharif_2023,bajra,2023-07-01,2023-09-24,0.53
MP0508,rabi_2023_24,gram,2023-11-18,2024-03-17,0.89
MP0508,kharif_2024,bajra,2024-07-02,2024-09-25,0.8
MP0508,rabi_2024_25,gram,2024-11-13,2025-03-13,0.75
MP0509,rabi_2022_23,mustard,2022-11-26,2023-04-05,0.6
MP0509,kharif_2023,bajra,2023-06-27,2023-09-20,0.58
MP0509,rabi_2023_24,mustard,2023-11-17,2024-03-26,0.53
MP0509,kharif_2024,bajra,2024-07-01,2024-09-24,0.84
MP0509,rabi_2024_25,mustard,2024-11-26,2025-04-05,0.62
MP0510,rabi_2022_23,wheat,2022-11-29,2023-04-23,0.61
MP0510,kharif_2023,bajra,2023-06-28,2023-09-21,0.54
MP0510,rabi_2023_24,wheat,2023-11-22,2024-04-15,0.59
MP0510,kharif_2024,bajra,2024-07-08,2024-10-01,0.54
MP0510,rabi_2024_25,wheat,2024-11-21,2025-04-15,0.52
MP0605,rabi_2022_23,wheat,2022-11-28,2023-04-22,0.63
MP0605,kharif_2023,bajra,2023-07-04,2023-09-27,0.52
MP0605,rabi_2023_24,wheat,2023-11-27,2024-04-20,0.69
MP0605,kharif_2024,bajra,2024-07-02,2024-09-25,0.84
MP0605,rabi_2024_25,wheat,2024-11-22,2025-04-16,0.83
MP0606,rabi_2022_23,wheat,2022-11-03,2023-03-28,0.7
MP0606,kharif_2023,bajra,2023-07-13,2023-10-06,0.81
MP0606,rabi_2023_24,wheat,2023-11-13,2024-04-06,0.76
MP0606,kharif_2024,bajra,2024-07-12,2024-10-05,0.55
MP0606,rabi_2024_25,wheat,2024-11-04,2025-03-29,0.55
MP0607,rabi_2022_23,wheat,2022-11-15,2023-04-09,0.83
MP0607,kharif_2023,cotton,2023-05-19,2023-11-15,0.84
MP0607,rabi_2023_24,wheat,2023-11-10,2024-04-03,0.59
MP0607,kharif_2024,cotton,2024-05-20,2024-11-16,0.55
MP0607,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.59
MP0409,rabi_2022_23,wheat,2022-11-13,2023-04-07,0.88
MP0409,kharif_2023,bajra,2023-07-07,2023-09-30,0.62
MP0409,rabi_2023_24,wheat,2023-11-09,2024-04-02,0.61
MP0409,kharif_2024,bajra,2024-07-04,2024-09-27,0.78
MP0409,rabi_2024_25,wheat,2024-11-05,2025-03-30,0.81
MP0410,rabi_2022_23,wheat,2022-11-09,2023-04-03,0.69
MP0410,kharif_2023,bajra,2023-07-09,2023-10-02,0.88
MP0410,rabi_2023_24,wheat,2023-11-08,2024-04-01,0.56
MP0410,kharif_2024,bajra,2024-07-02,2024-09-25,0.57
MP0410,rabi_2024_25,wheat,2024-11-05,2025-03-30,0.84
MP0411,rabi_2022_23,wheat,2022-11-10,2023-04-04,0.71
MP0411,kharif_2023,bajra,2023-07-01,2023-09-24,0.75
MP0411,rabi_2023_24,wheat,2023-11-09,2024-04-02,0.62
MP0411,kharif_2024,bajra,2024-07-07,2024-09-30,0.59
MP0411,rabi_2024_25,wheat,2024-11-09,2025-04-03,0.59
MP0412,rabi_2022_23,wheat,2022-11-07,2023-04-01,0.55
MP0412,kharif_2023,bajra,2023-07-14,2023-10-07,0.78
MP0412,rabi_2023_24,wheat,2023-11-04,2024-03-28,0.76
MP0412,kharif_2024,bajra,2024-07-14,2024-10-07,0.89
MP0412,rabi_2024_25,wheat,2024-11-11,2025-04-05,0.81
MP0511,rabi_2022_23,mustard,2022-11-22,2023-04-01,0.6
MP0511,kharif_2023,bajra,2023-06-30,2023-09-23,0.83
MP0511,rabi_2023_24,mustard,2023-11-22,2024-03-31,0.69
MP0511,kharif_2024,bajra,2024-07-02,2024-09-25,0.68
MP0511,rabi_2024_25,mustard,2024-11-24,2025-04-03,0.79
MP0512,rabi_2022_23,wheat,2022-11-06,2023-03-31,0.78
MP0512,kharif_2023,bajra,2023-07-16,2023-10-09,0.53
MP0512,rabi_2023_24,wheat,2023-11-14,2024-04-07,0.76
MP0512,kharif_2024,bajra,2024-07-10,2024-10-03,0.86
MP0512,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.8
MP0608,rabi_2022_23,wheat,2022-11-19,2023-04-13,0.76
MP0608,kharif_2023,bajra,2023-07-11,2023-10-04,0.76
MP0608,rabi_2023_24,wheat,2023-11-19,2024-04-12,0.77
MP0608,kharif_2024,bajra,2024-07-09,2024-10-02,0.7
MP0608,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.88
MP0609,rabi_2022_23,wheat,2022-11-12,2023-04-06,0.56
MP0609,kharif_2023,cotton,2023-05-20,2023-11-16,0.79
MP0609,rabi_2023_24,wheat,2023-11-15,2024-04-08,0.85
MP0609,kharif_2024,cotton,2024-05-18,2024-11-14,0.74
MP0609,rabi_2024_25,wheat,2024-11-14,2025-04-08,0.79
MP0610,rabi_2022_23,wheat,2022-12-04,2023-04-28,0.68
MP0610,kharif_2023,bajra,2023-07-06,2023-09-29,0.71
MP0610,rabi_2023_24,wheat,2023-12-04,2024-04-27,0.69
MP0610,kharif_2024,bajra,2024-07-05,2024-09-28,0.72
MP0610,rabi_2024_25,wheat,2024-11-25,2025-04-19,0.85
MP0611,rabi_2022_23,wheat,2022-11-25,2023-04-19,0.58
