panchayat_id,panchayat_name,block_id,lat,lon,elevation_m,tpi_z,slope_deg,irrigated_frac,canal_dist_km,cropland_frac,urban_frac,water_frac,tree_frac,clay_pct,sand_pct,silt_pct,soil_texture,whc_mm_per_m,drainage_class
MP0209,Synthetic Panchayat MP0209,MB02,29.04713,75.56,214.0,-0.361,0.34,0.348,2.4,0.749,0.006,0.03,0.184,16.9,46.5,36.6,loam,133.3,moderate
MP0210,Synthetic Panchayat MP0210,MB02,29.04432,75.59232,214.7,0.051,0.59,0.287,7.87,0.848,0.005,0.003,0.135,8.0,53.8,38.2,loam,113.4,good
MP0211,Synthetic Panchayat MP0211,MB02,29.03002,75.65873,216.9,1.457,1.21,0.346,0.46,0.853,0.076,0.01,0.027,21.1,35.4,43.5,loam,145.1,good
MP0307,Synthetic Panchayat MP0307,MB03,29.03668,75.70064,210.8,-2.6,0.89,0.415,1.16,0.688,0.013,0.06,0.22,9.4,56.0,34.6,loam,115.5,moderate
MP0308,Synthetic Panchayat MP0308,MB03,29.02632,75.74441,214.5,-0.141,0.79,0.498,2.4,0.883,0.029,0.021,0.047,17.9,43.5,38.6,loam,136.3,moderate
MP0309,Synthetic Panchayat MP0309,MB03,29.02903,75.78036,215.1,0.34,0.33,0.425,1.51,0.822,0.014,0.021,0.075,23.7,34.2,42.1,loam,150.7,moderate
MP0310,Synthetic Panchayat MP0310,MB03,29.04198,75.83151,215.3,0.539,0.19,0.591,0.11,0.864,0.081,0.05,0.004,20.8,46.0,33.2,loam,141.4,good
MP0110,Synthetic Panchayat MP0110,MB01,29.0785,75.42515,213.6,-0.471,0.69,0.174,14.03,0.834,0.075,0.075,0.01,9.0,54.4,36.6,loam,115.2,moderate
MP0111,Synthetic Panchayat MP0111,MB01,29.08395,75.47222,211.5,-1.921,0.12,0.281,2.38,0.742,0.152,0.003,0.093,10.6,45.4,44.0,loam,121.1,moderate
MP0112,Synthetic Panchayat MP0112,MB01,29.06823,75.49941,214.7,0.202,0.38,0.548,0.66,0.762,0.022,0.034,0.135,17.3,51.6,31.2,loam,132.6,good
MP0212,Synthetic Panchayat MP0212,MB02,29.06933,75.55485,216.8,1.585,0.42,0.319,1.47,0.909,0.029,0.004,0.02,9.3,54.3,36.4,loam,115.8,good
MP0213,Synthetic Panchayat MP0213,MB02,29.07175,75.58806,212.0,-1.731,0.93,0.449,0.08,0.664,0.039,0.035,0.236,19.1,42.8,38.1,loam,138.8,poor
MP0214,Synthetic Panchayat MP0214,MB02,29.06489,75.64731,215.7,0.735,0.34,0.348,2.3,0.744,0.047,0.007,0.187,16.8,51.2,32.0,loam,131.8,good
MP0215,Synthetic Panchayat MP0215,MB02,29.06343,75.68714,214.0,-0.423,0.38,0.423,4.33,0.813,0.043,0.018,0.122,14.4,47.7,37.9,loam,128.0,good
MP0311,Synthetic Panchayat MP0311,MB03,29.0719,75.7263,214.4,-0.104,0.6,0.379,2.23,0.721,0.004,0.052,0.217,17.2,44.4,38.4,loam,134.5,moderate
MP0312,Synthetic Panchayat MP0312,MB03,29.06581,75.77001,213.0,-1.002,0.24,0.405,3.99,0.73,0.053,0.007,0.191,17.0,42.0,40.9,loam,134.9,moderate
MP0313,Synthetic Panchayat MP0313,MB03,29.07666,75.83026,214.1,-0.154,0.46,0.379,1.87,0.721,0.242,0.01,0.009,24.0,40.7,35.3,loam,149.3,moderate
MP0113,Synthetic Panchayat MP0113,MB01,29.10596,75.41212,215.9,1.195,0.42,0.325,4.26,0.94,0.01,0.017,0.009,15.6,47.9,36.5,loam,130.3,good
MP0401,Synthetic Panchayat MP0401,MB04,29.11565,75.48089,214.8,0.388,0.37,0.181,2.37,0.665,0.279,0.016,0.022,8.9,52.1,39.1,loam,115.6,good
MP0402,Synthetic Panchayat MP0402,MB04,29.11241,75.51505,216.5,1.526,0.69,0.333,2.97,0.59,0.163,0.022,0.208,13.2,45.0,41.8,loam,126.4,good
MP0216,Synthetic Panchayat MP0216,MB02,29.1029,75.55268,215.8,0.956,0.11,0.384,5.29,0.871,0.044,0.024,0.055,12.4,49.4,38.2,loam,123.4,good
MP0501,Synthetic Panchayat MP0501,MB05,29.11564,75.60536,214.6,0.172,0.29,0.319,12.92,0.808,0.139,0.021,0.026,19.7,42.0,38.3,loam,140.4,moderate
MP0502,Synthetic Panchayat MP0502,MB05,29.11497,75.63247,216.6,1.503,0.66,0.266,1.67,0.903,0.029,0.022,0.037,12.3,43.6,44.1,loam,125.1,good
MP0314,Synthetic Panchayat MP0314,MB03,29.10474,75.70694,214.9,0.296,0.27,0.391,9.39,0.837,0.001,0.043,0.105,23.0,33.4,43.6,loam,149.4,moderate
MP0315,Synthetic Panchayat MP0315,MB03,29.10231,75.73694,215.5,0.757,0.13,0.338,0.32,0.726,0.026,0.062,0.12,18.8,45.3,35.9,loam,137.5,good
MP0601,Synthetic Panchayat MP0601,MB06,29.11197,75.79141,213.9,-0.263,0.65,0.496,2.19,0.792,0.111,0.015,0.047,16.6,34.6,48.7,loam,136.4,moderate
MP0316,Synthetic Panchayat MP0316,MB03,29.09867,75.81436,214.6,0.183,0.79,0.246,2.22,0.735,0.077,0.037,0.128,18.8,43.9,37.3,loam,137.9,moderate
MP0403,Synthetic Panchayat MP0403,MB04,29.13515,75.42208,212.8,-0.869,0.44,0.238,2.75,0.746,0.066,0.029,0.149,11.2,48.0,40.8,loam,121.4,moderate
MP0404,Synthetic Panchayat MP0404,MB04,29.13043,75.46721,215.3,0.794,0.24,0.063,6.85,0.646,0.096,0.043,0.198,10.1,56.2,33.8,loam,116.8,good
MP0405,Synthetic Panchayat MP0405,MB04,29.14953,75.52629,211.9,-1.482,0.66,0.101,1.78,0.723,0.125,0.009,0.095,14.8,44.7,40.5,loam,129.8,moderate
MP0503,Synthetic Panchayat MP0503,MB05,29.14654,75.55976,214.9,0.482,0.15,0.391,11.46,0.481,0.106,0.041,0.367,11.3,52.5,36.2,loam,120.4,good
MP0504,Synthetic Panchayat MP0504,MB05,29.14753,75.60166,213.5,-0.518,0.54,0.354,2.25,0.861,0.015,0.04,0.062,9.1,50.2,40.7,loam,116.7,good
MP0505,Synthetic Panchayat MP0505,MB05,29.14938,75.64016,215.6,0.869,0.18,0.206,4.8,0.861,0.007,0.061,0.029,15.2,46.7,38.0,loam,129.9,good
MP0506,Synthetic Panchayat MP0506,MB05,29.14149,75.68719,215.1,0.51,0.1,0.158,3.05,0.818,0.002,0.0,0.179,12.0,52.1,35.9,loam,121.9,good
MP0602,Synthetic Panchayat MP0602,MB06,29.14418,75.73815,216.8,1.691,0.32,0.05,2.76,0.651,0.015,0.041,0.246,16.3,43.5,40.2,loam,133.0,good
MP0603,Synthetic Panchayat MP0603,MB06,29.13368,75.78058,215.3,0.715,0.4,0.325,1.68,0.769,0.193,0.012,0.015,16.9,48.8,34.3,loam,132.7,good
MP0604,Synthetic Panchayat MP0604,MB06,29.13306,75.81243,211.9,-1.526,0.26,0.646,0.05,0.932,0.016,0.011,0.039,17.8,40.0,42.2,loam,137.1,moderate
MP0406,Synthetic Panchayat MP0406,MB04,29.18163,75.43278,213.5,-0.283,0.63,0.304,11.73,0.755,0.102,0.021,0.108,19.9,43.3,36.8,loam,140.2,moderate
MP0407,Synthetic Panchayat MP0407,MB04,29.17679,75.47998,211.8,-1.457,0.32,0.192,3.46,0.718,0.002,0.003,0.219,14.3,50.8,34.9,loam,126.9,moderate
MP0408,Synthetic Panchayat MP0408,MB04,29.1791,75.50117,212.8,-0.822,0.74,0.291,8.36,0.799,0.152,0.018,0.024,15.1,49.1,35.9,loam,128.9,moderate
MP0507,Synthetic Panchayat MP0507,MB05,29.18399,75.5592,215.8,1.173,0.53,0.086,14.73,0.87,0.042,0.005,0.079,9.6,59.0,31.4,loam,115.1,good
MP0508,Synthetic Panchayat MP0508,MB05,29.1808,75.59017,214.5,0.277,0.24,0.218,5.03,0.621,0.108,0.015,0.231,13.4,44.9,41.7,loam,126.9,good
MP0509,Synthetic Panchayat MP0509,MB05,29.17881,75.65293,212.6,-1.059,0.19,0.28,1.47,0.479,0.334,0.031,0.122,17.1,39.1,43.8,loam,136.0,moderate
MP0510,Synthetic Panchayat MP0510,MB05,29.17895,75.68561,212.2,-1.34,0.14,0.279,1.94,0.634,0.293,0.001,0.044,14.0,43.4,42.6,loam,128.6,moderate
MP0605,Synthetic Panchayat MP0605,MB06,29.1727,75.74252,213.9,-0.154,0.54,0.407,0.27,0.818,0.005,0.008,0.152,21.1,43.6,35.2,loam,142.6,moderate
MP0606,Synthetic Panchayat MP0606,MB06,29.16601,75.78965,212.2,-1.278,0.34,0.402,6.39,0.795,0.043,0.004,0.15,15.9,47.7,36.4,loam,131.0,moderate
MP0607,Synthetic Panchayat MP0607,MB06,29.17595,75.83596,213.1,-0.598,0.36,0.464,2.95,0.773,0.012,0.013,0.182,19.6,42.8,37.6,loam,139.8,moderate
MP0409,Synthetic Panchayat MP0409,MB04,29.20551,75.41014,214.0,0.112,0.29,0.2,9.07,0.683,0.054,0.024,0.228,12.1,44.6,43.3,loam,124.4,good
MP0410,Synthetic Panchayat MP0410,MB04,29.21026,75.4806,215.2,0.865,0.18,0.334,7.02,0.755,0.027,0.083,0.12,14.8,49.8,35.5,loam,128.1,good
MP0411,Synthetic Panchayat MP0411,MB04,29.22116,75.504,214.3,0.271,0.92,0.401,0.11,0.918,0.009,0.0,0.065,12.6,43.8,43.6,loam,125.5,good
MP0412,Synthetic Panchayat MP0412,MB04,29.20598,75.54293,210.0,-2.689,0.16,0.139,6.15,0.761,0.068,0.003,0.117,14.0,52.1,34.0,loam,125.8,poor
MP0511,Synthetic Panchayat MP0511,MB05,29.20168,75.60423,213.9,-0.09,0.08,0.156,0.5,0.862,0.016,0.0,0.105,14.9,58.1,27.1,loam,125.8,moderate
MP0512,Synthetic Panchayat MP0512,MB05,29.20714,75.64343,213.6,-0.325,0.78,0.39,0.21,0.697,0.226,0.043,0.025,14.0,48.9,37.1,loam,126.8,good
MP0608,Synthetic Panchayat MP0608,MB06,29.20744,75.70289,214.2,0.09,0.86,0.267,3.52,0.666,0.011,0.042,0.273,18.7,45.5,35.8,loam,137.3,moderate
MP0609,Synthetic Panchayat MP0609,MB06,29.21647,75.74721,216.1,1.39,0.23,0.453,1.55,0.696,0.03,0.129,0.093,18.8,41.1,40.1,loam,138.8,good
MP0610,Synthetic Panchayat MP0610,MB06,29.2139,75.77674,210.7,-2.248,0.26,0.29,4.77,0.737,0.024,0.037,0.197,18.5,36.1,45.4,loam,139.7,poor
MP0611,Synthetic Panchayat MP0611,MB06,29.21946,75.84177,213.0,-0.56,0.63,0.527,7.59,0.708,0.131,0.033,0.117,18.8,40.7,40.5,loam,138.9,moderate
MP0413,Synthetic Panchayat MP0413,MB04,29.25153,75.41591,214.3,0.345,0.35,0.282,1.68,0.891,0.024,0.02,0.014,16.6,40.7,42.7,loam,134.5,good
MP0414,Synthetic Panchayat MP0414,MB04,29.24521,75.46797,210.9,-1.925,0.21,0.274,2.84,0.757,0.06,0.074,0.095,13.7,41.9,44.4,loam,128.2,moderate
MP0415,Synthetic Panchayat MP0415,MB04,29.25519,75.50481,215.4,1.109,0.37,0.395,0.01,0.813,0.108,0.03,0.03,13.7,54.6,31.7,loam,124.5,good
MP0513,Synthetic Panchayat MP0513,MB05,29.23934,75.57124,213.8,-0.058,0.91,0.197,0.76,0.916,0.044,0.005,0.024,15.4,47.2,37.4,loam,130.2,good
MP0514,Synthetic Panchayat MP0514,MB05,29.23581,75.59194,214.6,0.419,0.32,0.142,3.9,0.768,0.109,0.024,0.086,20.4,43.1,36.4,loam,141.4,good
MP0515,Synthetic Panchayat MP0515,MB05,29.23746,75.63316,212.5,-1.022,0.48,0.201,0.04,0.834,0.073,0.013,0.069,11.9,48.1,40.0,loam,122.8,moderate
MP0516,Synthetic Panchayat MP0516,MB05,29.25295,75.69046,214.6,0.404,0.79,0.313,3.1,0.728,0.05,0.021,0.184,19.1,42.1,38.8,loam,139.0,moderate
MP0612,Synthetic Panchayat MP0612,MB06,29.24657,75.75301,215.2,0.8,1.08,0.151,3.42,0.859,0.065,0.01,0.065,12.3,52.8,34.9,loam,122.3,good
MP0613,Synthetic Panchayat MP0613,MB06,29.2392,75.79484,214.0,0.089,0.28,0.403,0.26,0.81,0.027,0.034,0.048,19.5,42.3,38.2,loam,139.9,moderate
MP0614,Synthetic Panchayat MP0614,MB06,29.24753,75.83533,214.1,0.208,0.44,0.313,7.7,0.902,0.023,0.015,0.055,24.4,40.2,35.4,loam,150.2,moderate
