date,panchayat_id,reported_rain,reported_intensity,channel
2023-06-28,MP0614,yes,light,app
2023-06-30,MP0507,no,none,whatsapp
2023-07-01,MP0414,no,none,app
2023-07-03,MP0408,yes,moderate,whatsapp
2023-07-03,MP0508,no,none,whatsapp
2023-07-04,MP0413,no,none,ivr
2023-07-04,MP0614,yes,moderate,ivr
2023-07-05,MP0605,no,none,ivr
2023-07-06,MP0301,no,none,app
2023-07-06,MP0104,no,none,whatsapp
2023-07-08,MP0514,yes,none,whatsapp
2023-07-08,MP0314,no,none,whatsapp
2023-07-08,MP0309,no,none,ivr
2023-07-09,MP0311,no,none,ivr
2023-07-09,MP0606,no,none,ivr
2023-07-10,MP0602,no,none,ivr
2023-07-10,MP0504,no,none,ivr
2023-07-11,MP0204,no,none,whatsapp
2023-07-13,MP0513,no,none,whatsapp
2023-07-13,MP0104,no,none,whatsapp
2023-07-13,MP0610,no,none,ivr
2023-07-14,MP0413,no,none,whatsapp
2023-07-14,MP0104,no,none,ivr
2023-07-15,MP0204,no,none,ivr
2023-07-15,MP0107,no,none,whatsapp
2023-07-17,MP0412,no,none,ivr
2023-07-18,MP0508,no,none,whatsapp
2023-07-19,MP0210,no,none,whatsapp
2023-07-19,MP0106,yes,light,ivr
2023-07-20,MP0408,no,none,whatsapp
2023-07-21,MP0209,no,none,ivr
2023-07-24,MP0611,no,none,app
2023-07-24,MP0501,no,none,whatsapp
2023-07-27,MP0602,no,none,whatsapp
2023-07-27,MP0209,no,none,whatsapp
2023-07-27,MP0307,no,none,whatsapp
2023-07-28,MP0402,no,none,whatsapp
2023-07-29,MP0515,no,none,whatsapp
2023-07-29,MP0509,no,none,ivr
2023-07-30,MP0303,no,none,ivr
2023-07-31,MP0610,no,none,ivr
2023-08-01,MP0215,no,none,whatsapp
2023-08-03,MP0316,no,none,ivr
2023-08-03,MP0612,yes,none,whatsapp
2023-08-03,MP0209,no,none,whatsapp
2023-08-04,MP0404,yes,light,app
2023-08-04,MP0303,no,none,app
2023-08-05,MP0312,yes,moderate,app
2023-08-06,MP0303,yes,none,ivr
2023-08-09,MP0313,no,none,whatsapp
2023-08-10,MP0506,no,none,ivr
2023-08-12,MP0508,no,none,whatsapp
2023-08-12,MP0113,no,none,app
2023-08-13,MP0305,no,none,whatsapp
2023-08-13,MP0310,no,none,whatsapp
2023-08-13,MP0402,no,none,whatsapp
2023-08-14,MP0309,no,none,whatsapp
2023-08-15,MP0402,yes,moderate,whatsapp
2023-08-15,MP0306,no,none,ivr
2023-08-18,MP0105,no,none,whatsapp
2023-08-18,MP0306,no,none,ivr
2023-08-19,MP0509,no,none,whatsapp
2023-08-19,MP0613,no,none,app
2023-08-20,MP0609,no,none,ivr
2023-08-20,MP0301,no,none,app
2023-08-21,MP0102,yes,heavy,whatsapp
2023-08-22,MP0203,no,none,ivr
2023-08-23,MP0307,no,none,app
2023-08-26,MP0405,no,none,app
2023-08-26,MP0406,no,none,ivr
2023-08-28,MP0309,no,none,whatsapp
2023-08-28,MP0201,no,none,ivr
2023-08-28,MP0505,no,none,whatsapp
2023-08-29,MP0111,no,none,app
2023-08-29,MP0509,no,none,whatsapp
2023-08-29,MP0411,no,none,whatsapp
2023-08-30,MP0209,no,none,ivr
2023-08-30,MP0314,no,none,ivr
2023-08-31,MP0303,no,none,ivr
2023-08-31,MP0501,no,none,whatsapp
2023-08-31,MP0212,no,none,whatsapp
2023-09-01,MP0204,no,none,ivr
2023-09-01,MP0104,no,none,whatsapp
2023-09-02,MP0102,no,none,app
2023-09-03,MP0303,no,none,whatsapp
2023-09-05,MP0502,no,none,whatsapp
2023-09-07,MP0202,yes,moderate,whatsapp
2023-09-07,MP0302,yes,light,whatsapp
2023-09-07,MP0215,yes,light,whatsapp
2023-09-09,MP0105,no,none,whatsapp
2023-09-09,MP0411,no,none,app
2023-09-10,MP0108,yes,none,ivr
2023-09-11,MP0515,no,none,whatsapp
2023-09-15,MP0112,no,none,whatsapp
2023-09-15,MP0410,no,none,whatsapp
2023-09-18,MP0108,no,none,whatsapp
2023-09-18,MP0203,no,none,whatsapp
2023-09-19,MP0502,no,none,whatsapp
2023-09-20,MP0204,no,none,app
2023-09-21,MP0501,yes,none,ivr
2023-09-22,MP0113,no,none,whatsapp
2023-09-23,MP0309,no,none,ivr
2023-09-23,MP0311,no,none,whatsapp
2023-09-24,MP0507,yes,none,whatsapp
2023-09-24,MP0201,no,none,whatsapp
2023-09-25,MP0410,no,none,ivr
2023-09-27,MP0515,no,none,ivr
2023-09-27,MP0504,no,none,app
2023-09-28,MP0412,no,none,ivr
2023-09-29,MP0509,no,none,ivr
2023-09-29,MP0206,no,none,whatsapp
2023-09-29,MP0405,no,none,app
2023-09-30,MP0313,yes,light,ivr
2023-10-01,MP0601,no,none,whatsapp
2023-10-02,MP0508,yes,none,whatsapp
2023-10-08,MP0102,no,none,whatsapp
2023-10-10,MP0408,no,none,app
2023-10-10,MP0614,no,none,whatsapp
2023-10-11,MP0508,yes,heavy,whatsapp
2023-10-12,MP0312,no,none,app
2023-10-16,MP0509,no,none,app
2023-10-18,MP0305,no,none,ivr
2023-10-20,MP0512,no,none,whatsapp
2023-10-20,MP0501,no,none,app
2023-10-22,MP0512,no,none,whatsapp
2023-10-22,MP0112,yes,none,app
2023-10-22,MP0103,no,none,app
2023-10-27,MP0611,no,none,app
2023-10-27,MP0504,no,none,whatsapp
2023-10-29,MP0103,yes,none,app
2023-10-30,MP0506,no,none,ivr
2023-11-01,MP0603,no,none,ivr
2023-11-06,MP0501,no,none,whatsapp
2023-11-07,MP0314,no,none,whatsapp
2023-11-12,MP0505,no,none,ivr
2023-11-12,MP0210,no,none,whatsapp
2023-11-13,MP0205,no,none,ivr
2023-11-13,MP0410,no,none,ivr
2023-11-13,MP0403,no,none,ivr
2023-11-14,MP0112,no,none,ivr
2023-11-15,MP0406,no,none,ivr
2023-11-15,MP0614,yes,moderate,whatsapp
2023-11-16,MP0109,no,none,whatsapp
2023-11-16,MP0404,no,none,ivr
2023-11-16,MP0512,yes,none,whatsapp
2023-11-18,MP0212,yes,light,app
2023-11-19,MP0213,no,none,whatsapp
2023-11-19,MP0415,no,none,whatsapp
2023-11-19,MP0512,no,none,app
2023-11-20,MP0307,no,none,whatsapp
2023-11-20,MP0104,no,none,whatsapp
2023-11-21,MP0610,no,none,whatsapp
2023-11-23,MP0301,no,none,ivr
2023-11-25,MP0207,no,none,whatsapp
2023-11-26,MP0304,no,none,ivr
2023-11-27,MP0607,no,none,ivr
2023-11-28,MP0415,no,none,app
2023-11-28,MP0212,yes,light,ivr
2023-11-29,MP0307,no,none,ivr
2023-11-29,MP0609,no,none,ivr
2023-12-04,MP0409,no,none,whatsapp
2023-12-05,MP0503,no,none,whatsapp
2023-12-05,MP0515,yes,none,ivr
2023-12-06,MP0510,no,none,whatsapp
2023-12-07,MP0214,no,none,ivr
2023-12-08,MP0502,no,none,ivr
2023-12-08,MP0209,no,none,whatsapp
2023-12-08,MP0514,yes,none,whatsapp
2023-12-08,MP0601,yes,light,app
2023-12-10,MP0307,no,none,whatsapp
2023-12-10,MP0111,no,none,whatsapp
2023-12-12,MP0215,no,none,whatsapp
2023-12-14,MP0409,no,none,app
2023-12-14,MP0110,no,none,whatsapp
2023-12-14,MP0203,no,none,whatsapp
2023-12-15,MP0401,no,none,app
2023-12-15,MP0601,no,none,app
2023-12-15,MP0413,no,none,ivr
2023-12-16,MP0412,no,none,whatsapp
2023-12-19,MP0516,no,none,whatsapp
2023-12-23,MP0605,no,none,ivr
2023-12-24,MP0316,no,none,whatsapp
2023-12-25,MP0408,no,none,whatsapp
2023-12-25,MP0408,no,none,whatsapp
2023-12-26,MP0204,no,none,ivr
2023-12-27,MP0103,no,none,app
2023-12-29,MP0512,no,none,app
2023-12-30,MP0306,yes,moderate,app
2024-01-01,MP0306,no,none,app
2024-01-02,MP0213,no,none,app
2024-01-04,MP0509,no,none,app
2024-01-04,MP0409,yes,light,ivr
2024-01-05,MP0103,no,none,whatsapp
2024-01-08,MP0502,no,none,ivr
2024-01-08,MP0402,no,none,app
2024-01-09,MP0514,yes,heavy,whatsapp
2024-01-09,MP0305,no,none,whatsapp
2024-01-09,MP0504,yes,none,app
2024-01-10,MP0314,no,none,whatsapp
2024-01-12,MP0404,no,none,app
2024-01-13,MP0102,yes,moderate,app
2024-01-14,MP0108,no,none,whatsapp
2024-01-15,MP0507,no,none,whatsapp
2024-01-18,MP0313,no,none,whatsapp
2024-01-18,MP0515,no,none,whatsapp
2024-01-19,MP0411,no,none,ivr
2024-01-19,MP0502,no,none,ivr
2024-01-19,MP0514,no,none,whatsapp
2024-01-20,MP0516,no,none,whatsapp
2024-01-21,MP0405,no,none,whatsapp
2024-01-21,MP0511,no,none,whatsapp
2024-01-21,MP0505,no,none,whatsapp
2024-01-22,MP0211,no,none,app
2024-01-24,MP0502,no,none,whatsapp
2024-01-26,MP0410,no,none,app
2024-01-26,MP0112,no,none,ivr
2024-01-27,MP0503,yes,light,whatsapp
2024-01-29,MP0103,yes,light,ivr
2024-01-29,MP0501,yes,light,whatsapp
2024-01-29,MP0212,yes,heavy,whatsapp
2024-01-30,MP0414,yes,light,ivr
2024-01-30,MP0214,yes,light,app
2024-01-30,MP0402,yes,light,whatsapp
2024-02-01,MP0606,no,none,whatsapp
2024-02-01,MP0109,no,none,app
2024-02-02,MP0415,no,none,whatsapp
2024-02-05,MP0614,yes,light,app
2024-02-07,MP0304,no,none,whatsapp
2024-02-07,MP0505,no,none,whatsapp
2024-02-12,MP0310,no,none,ivr
2024-02-12,MP0603,no,none,whatsapp
2024-02-13,MP0505,no,none,app
2024-02-13,MP0608,no,none,app
2024-02-13,MP0107,yes,heavy,whatsapp
2024-02-15,MP0405,no,none,whatsapp
2024-02-16,MP0305,no,none,whatsapp
2024-02-18,MP0206,no,none,whatsapp
2024-02-20,MP0603,no,none,whatsapp
2024-02-22,MP0204,no,none,whatsapp
2024-02-22,MP0314,no,none,whatsapp
2024-02-22,MP0506,no,none,ivr
2024-02-23,MP0113,no,none,ivr
2024-02-24,MP0411,no,none,whatsapp
2024-02-27,MP0606,no,none,app
2024-02-27,MP0303,no,none,ivr
2024-02-29,MP0414,no,none,whatsapp
2024-03-01,MP0501,no,none,app
2024-03-01,MP0212,no,none,whatsapp
2024-03-02,MP0312,no,none,whatsapp
2024-03-04,MP0203,yes,heavy,ivr
2024-03-05,MP0503,no,none,app
2024-03-06,MP0308,no,none,whatsapp
2024-03-06,MP0603,no,none,whatsapp
2024-03-07,MP0312,yes,moderate,ivr
2024-03-07,MP0203,no,none,app
2024-03-08,MP0410,no,none,app
2024-03-08,MP0606,no,none,ivr
2024-03-09,MP0608,no,none,ivr
2024-03-10,MP0401,no,none,whatsapp
2024-03-10,MP0203,no,none,whatsapp
2024-03-12,MP0208,no,none,whatsapp
2024-03-12,MP0409,no,none,whatsapp
2024-03-12,MP0314,yes,light,whatsapp
2024-03-12,MP0506,no,none,app
2024-03-12,MP0402,no,none,whatsapp
2024-03-13,MP0405,yes,light,ivr
2024-03-13,MP0316,yes,light,whatsapp
2024-03-14,MP0105,no,none,whatsapp
2024-03-15,MP0203,no,none,app
2024-03-16,MP0607,yes,light,whatsapp
2024-03-17,MP0403,no,none,app
2024-03-17,MP0201,no,none,ivr
2024-03-17,MP0516,no,none,ivr
2024-03-17,MP0407,no,none,app
2024-03-22,MP0412,no,none,whatsapp
2024-03-22,MP0101,no,none,whatsapp
2024-03-25,MP0101,no,none,app
2024-03-25,MP0513,no,none,ivr
2024-03-29,MP0313,no,none,app
2024-03-30,MP0610,no,none,whatsapp
2024-03-30,MP0314,no,none,whatsapp
2024-04-02,MP0201,yes,none,app
2024-04-03,MP0212,yes,light,whatsapp
2024-04-04,MP0516,no,none,ivr
2024-04-04,MP0214,no,none,whatsapp
2024-04-04,MP0415,no,none,whatsapp
2024-04-05,MP0412,no,none,app
2024-04-05,MP0101,no,none,whatsapp
2024-04-06,MP0311,no,none,ivr
2024-04-06,MP0602,no,none,ivr
2024-04-07,MP0110,yes,light,whatsapp
2024-04-07,MP0307,no,none,whatsapp
2024-04-08,MP0302,no,none,whatsapp
2024-04-09,MP0208,no,none,app
2024-04-12,MP0101,no,none,app
2024-04-12,MP0306,no,none,ivr
2024-04-13,MP0308,no,none,whatsapp
2024-04-14,MP0404,no,none,whatsapp
2024-04-16,MP0516,no,none,whatsapp
2024-04-17,MP0405,no,none,app
2024-04-18,MP0107,no,none,whatsapp
2024-04-19,MP0504,no,none,ivr
2024-04-20,MP0411,no,none,whatsapp
2024-04-20,MP0304,no,none,ivr
2024-04-20,MP0208,no,none,whatsapp
2024-04-21,MP0205,no,none,app
2024-04-25,MP0612,no,none,whatsapp
2024-04-25,MP0413,no,none,ivr
2024-04-26,MP0210,no,none,ivr
2024-04-26,MP0605,no,none,app
2024-04-27,MP0312,no,none,whatsapp
2024-04-28,MP0307,no,none,whatsapp
2024-04-28,MP0213,no,none,ivr
2024-05-01,MP0405,no,none,whatsapp
2024-05-03,MP0304,no,none,ivr
2024-05-03,MP0401,no,none,whatsapp
2024-05-04,MP0105,no,none,ivr
2024-05-05,MP0204,no,none,ivr
2024-05-05,MP0607,no,none,app
2024-05-06,MP0610,no,none,app
2024-05-09,MP0202,no,none,app
2024-05-09,MP0303,no,none,ivr
2024-05-09,MP0402,yes,light,ivr
2024-05-11,MP0611,yes,moderate,ivr
2024-05-11,MP0612,no,none,ivr
2024-05-12,MP0502,no,none,app
2024-05-13,MP0111,no,none,whatsapp
2024-05-13,MP0314,no,none,app
2024-05-13,MP0508,no,none,whatsapp
2024-05-15,MP0512,no,none,app
2024-05-16,MP0504,no,none,whatsapp
2024-05-16,MP0514,no,none,whatsapp
2024-05-17,MP0502,no,none,whatsapp
2024-05-18,MP0108,no,none,app
2024-05-18,MP0601,no,none,ivr
2024-05-18,MP0315,no,none,whatsapp
2024-05-19,MP0607,no,none,whatsapp
2024-05-19,MP0303,no,none,app
2024-05-21,MP0204,no,none,ivr
2024-05-21,MP0516,no,none,whatsapp
2024-05-22,MP0503,no,none,whatsapp
2024-05-23,MP0401,no,none,whatsapp
2024-05-23,MP0314,no,none,app
2024-05-23,MP0208,no,none,ivr
2024-05-23,MP0301,no,none,app
2024-05-26,MP0607,yes,heavy,app
2024-05-26,MP0412,no,none,ivr
2024-05-26,MP0412,no,none,ivr
2024-05-27,MP0605,no,none,whatsapp
2024-05-28,MP0510,no,none,ivr
2024-05-29,MP0207,no,none,whatsapp
2024-05-29,MP0109,no,none,whatsapp
2024-05-30,MP0104,yes,none,app
2024-05-31,MP0109,no,none,whatsapp
2024-05-31,MP0508,no,none,whatsapp
2024-05-31,MP0414,no,none,app
2024-06-01,MP0303,no,none,app
2024-06-02,MP0314,no,none,ivr
2024-06-02,MP0606,no,none,app
2024-06-03,MP0313,no,none,whatsapp
2024-06-03,MP0611,no,none,ivr
2024-06-03,MP0601,no,none,whatsapp
2024-06-05,MP0304,no,none,ivr
2024-06-05,MP0211,no,none,ivr
2024-06-06,MP0311,no,none,app
2024-06-07,MP0206,no,none,whatsapp
2024-06-09,MP0509,no,none,ivr
2024-06-10,MP0502,no,none,app
2024-06-10,MP0401,no,none,whatsapp
2024-06-11,MP0407,no,none,whatsapp
2024-06-12,MP0406,yes,moderate,ivr
2024-06-12,MP0504,no,none,whatsapp
2024-06-13,MP0110,no,none,whatsapp
2024-06-14,MP0315,no,none,whatsapp
2024-06-14,MP0208,no,none,ivr
2024-06-17,MP0104,no,none,app
2024-06-18,MP0409,no,none,whatsapp
2024-06-19,MP0110,no,none,app
2024-06-19,MP0103,no,none,whatsapp
2024-06-19,MP0415,yes,none,whatsapp
2024-06-22,MP0403,no,heavy,ivr
2024-06-22,MP0112,no,none,whatsapp
2024-06-23,MP0602,yes,light,whatsapp
2024-06-26,MP0216,no,none,whatsapp
2024-06-26,MP0113,no,none,whatsapp
2024-06-26,MP0312,no,none,whatsapp
2024-06-27,MP0309,no,none,whatsapp
2024-06-29,MP0404,no,none,whatsapp
2024-06-29,MP0508,yes,moderate,whatsapp
2024-06-29,MP0303,yes,heavy,whatsapp
2024-06-30,MP0505,no,none,whatsapp
2024-07-01,MP0203,yes,moderate,app
2024-07-02,MP0411,no,none,whatsapp
2024-07-02,MP0502,no,none,ivr
2024-07-04,MP0505,no,none,whatsapp
2024-07-04,MP0408,yes,moderate,whatsapp
2024-07-05,MP0209,no,none,whatsapp
2024-07-05,MP0310,no,none,ivr
2024-07-06,MP0508,yes,moderate,app
2024-07-07,MP0213,no,none,app
2024-07-08,MP0309,no,none,whatsapp
2024-07-09,MP0313,no,none,whatsapp
2024-07-09,MP0206,yes,moderate,whatsapp
2024-07-11,MP0612,no,none,ivr
2024-07-11,MP0511,no,none,app
2024-07-11,MP0512,no,none,whatsapp
2024-07-12,MP0402,no,none,ivr
2024-07-13,MP0512,no,none,whatsapp
2024-07-14,MP0506,no,none,ivr
2024-07-14,MP0301,no,none,whatsapp
2024-07-16,MP0603,no,none,ivr
2024-07-18,MP0516,no,none,app
2024-07-18,MP0513,no,none,whatsapp
2024-07-18,MP0216,no,none,app
2024-07-19,MP0205,no,none,whatsapp
2024-07-19,MP0512,no,none,whatsapp
2024-07-20,MP0207,no,none,whatsapp
2024-07-20,MP0312,no,none,ivr
2024-07-21,MP0403,yes,light,whatsapp
2024-07-22,MP0608,no,none,whatsapp
2024-07-23,MP0201,no,none,app
2024-07-25,MP0515,no,none,ivr
2024-07-29,MP0105,no,none,whatsapp
2024-07-30,MP0107,yes,light,whatsapp
2024-07-30,MP0603,no,none,whatsapp
2024-07-30,MP0506,no,none,app
2024-07-31,MP0406,no,none,whatsapp
2024-08-01,MP0608,no,heavy,app
2024-08-01,MP0415,no,none,whatsapp
2024-08-02,MP0201,no,none,app
2024-08-02,MP0605,no,none,ivr
2024-08-03,MP0312,no,none,ivr
2024-08-04,MP0514,yes,light,whatsapp
2024-08-06,MP0408,no,none,app
2024-08-08,MP0612,yes,heavy,whatsapp
2024-08-08,MP0514,no,none,app
2024-08-11,MP0109,no,none,whatsapp
2024-08-13,MP0415,no,none,whatsapp
2024-08-13,MP0603,no,none,ivr
2024-08-14,MP0307,no,none,app
2024-08-14,MP0506,no,none,app
2024-08-16,MP0510,no,none,ivr
2024-08-17,MP0109,no,none,app
2024-08-19,MP0505,no,none,whatsapp
2024-08-19,MP0303,no,none,app
2024-08-19,MP0406,no,none,app
2024-08-19,MP0107,no,none,ivr
2024-08-20,MP0310,no,none,whatsapp
2024-08-20,MP0401,no,none,whatsapp
2024-08-21,MP0509,yes,heavy,whatsapp
2024-08-23,MP0312,no,none,app
2024-08-24,MP0214,no,none,app
2024-08-25,MP0411,no,none,app
2024-08-26,MP0308,no,none,whatsapp
2024-08-27,MP0105,no,none,whatsapp
2024-08-27,MP0514,no,none,whatsapp
2024-08-28,MP0208,no,none,whatsapp
2024-08-29,MP0209,no,none,whatsapp
2024-08-29,MP0401,no,none,ivr
2024-08-29,MP0513,yes,none,app
2024-08-31,MP0303,no,none,app
2024-09-01,MP0403,no,none,ivr
2024-09-01,MP0213,yes,none,app
2024-09-05,MP0107,no,none,app
2024-09-05,MP0512,no,none,whatsapp
2024-09-06,MP0407,no,none,whatsapp
2024-09-08,MP0401,yes,light,app
2024-09-09,MP0401,yes,light,whatsapp
